xx,mac,xx,省份,城市,合作商,网点,点位
,00:e0:70:2e:00:91,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:92,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:93,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:94,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:95,,浙江省,嘉兴市,,桐乡站,某个位置
,00:e0:70:2e:00:96,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:97,,浙江省,嘉兴市,,桐乡站,某个位置
,00:e0:70:2e:00:98,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:99,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:100,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:101,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:102,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:103,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:104,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:105,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:106,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:107,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:108,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:109,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:110,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:111,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:112,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:113,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:114,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:115,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:116,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:117,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:118,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:119,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:120,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:121,,浙江省,嘉兴市,,桐乡站,某个位置
,00:e0:70:2e:00:122,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:123,,浙江省,嘉兴市,,海宁西站,某个位置
,00:e0:70:2e:00:124,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:125,,浙江省,嘉兴市,,海宁西站,某个位置
,00:e0:70:2e:00:126,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:127,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:128,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:129,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:130,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:131,,浙江省,绍兴市,,诸暨站,某个位置
,00:e0:70:2e:00:132,,浙江省,绍兴市,,诸暨站,某个位置
,00:e0:70:2e:00:133,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:134,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:135,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:136,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:137,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:138,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:139,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:140,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:141,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:142,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:143,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:144,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:145,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:146,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:147,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:148,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:149,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:150,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:151,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:152,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:153,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:154,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:155,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:156,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:157,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:158,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:159,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:160,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:161,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:162,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:163,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:164,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:165,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:166,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:167,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:168,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:169,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:170,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:171,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:172,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:173,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:174,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:175,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:176,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:177,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:178,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:179,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:180,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:181,,浙江省,嘉兴市,,嘉善南站,某个位置
,00:e0:70:2e:00:182,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:183,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:184,,浙江省,宁波市,,余姚北,某个位置
,00:e0:70:2e:00:185,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:186,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:187,,浙江省,宁波市,,余姚北,某个位置
,00:e0:70:2e:00:188,,浙江省,宁波市,,余姚北,某个位置
,00:e0:70:2e:00:189,,浙江省,绍兴市,,绍兴站,某个位置
,00:e0:70:2e:00:190,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:191,,浙江省,宁波市,,余姚北,某个位置
,00:e0:70:2e:00:192,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:193,,浙江省,嘉兴市,,嘉善南站,某个位置
,00:e0:70:2e:00:194,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:195,,浙江省,嘉兴市,,嘉善南站,某个位置
,00:e0:70:2e:00:196,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:197,,浙江省,嘉兴市,,海宁西站,某个位置
,00:e0:70:2e:00:198,,浙江省,嘉兴市,,嘉善南站,某个位置
,00:e0:70:2e:00:199,,浙江省,嘉兴市,,海宁西站,某个位置
,00:e0:70:2e:00:200,,浙江省,嘉兴市,,海宁西站,某个位置
,00:e0:70:2e:00:201,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:202,,浙江省,嘉兴市,,嘉善南站,某个位置
,00:e0:70:2e:00:203,,浙江省,嘉兴市,,海宁西站,某个位置
,00:e0:70:2e:00:204,,浙江省,嘉兴市,,嘉善南站,某个位置
,00:e0:70:2e:00:205,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:206,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:207,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:208,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:209,,浙江省,宁波市,,余姚北,某个位置
,00:e0:70:2e:00:210,,浙江省,嘉兴市,,嘉善南站,某个位置
,00:e0:70:2e:00:211,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:212,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:213,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:214,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:215,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:216,,浙江省,宁波市,,余姚北,某个位置
,00:e0:70:2e:00:217,,浙江省,嘉兴市,,嘉善南站,某个位置
,00:e0:70:2e:00:218,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:219,,浙江省,宁波市,,余姚北,某个位置
,00:e0:70:2e:00:220,,浙江省,宁波市,,余姚北,某个位置
,00:e0:70:2e:00:221,,浙江省,宁波市,,宁海站,某个位置
,00:e0:70:2e:00:222,,浙江省,嘉兴市,,海宁西站,某个位置
,00:e0:70:2e:00:223,,浙江省,嘉兴市,,海宁西站,某个位置
,00:e0:70:2e:00:224,,浙江省,嘉兴市,,桐乡站,某个位置
,00:e0:70:2e:00:225,,浙江省,宁波市,,宁海站,某个位置
,00:e0:70:2e:00:226,,浙江省,嘉兴市,,嘉善南站,某个位置
,00:e0:70:2e:00:227,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:228,,浙江省,嘉兴市,,桐乡站,某个位置
,00:e0:70:2e:00:229,,浙江省,嘉兴市,,桐乡站,某个位置
,00:e0:70:2e:00:230,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:231,,浙江省,嘉兴市,,海宁西站,某个位置
,00:e0:70:2e:00:232,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:233,,浙江省,嘉兴市,,海宁西站,某个位置
,00:e0:70:2e:00:234,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:235,,浙江省,宁波市,,余姚北,某个位置
,00:e0:70:2e:00:236,,浙江省,嘉兴市,,桐乡站,某个位置
,00:e0:70:2e:00:237,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:238,,浙江省,嘉兴市,,嘉兴南站,某个位置
,00:e0:70:2e:00:239,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:240,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:241,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:242,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:243,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:244,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:245,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:246,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:247,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:248,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:249,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:250,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:251,,浙江省,嘉兴市,,海宁西站,某个位置
,00:e0:70:2e:00:252,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:253,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:254,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:255,,浙江省,绍兴市,,绍兴站,某个位置
,00:e0:70:2e:00:256,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:257,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:258,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:259,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:260,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:261,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:262,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:263,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:264,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:265,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:266,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:267,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:268,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:269,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:270,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:271,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:272,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:273,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:274,,浙江省,嘉兴市,,桐乡站,某个位置
,00:e0:70:2e:00:275,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:276,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:277,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:278,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:279,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:280,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:281,,浙江省,台州市,,温岭站,某个位置
,00:e0:70:2e:00:282,,浙江省,台州市,,台州高铁站,某个位置
,00:e0:70:2e:00:283,,浙江省,绍兴市,,绍兴站,某个位置
,00:e0:70:2e:00:284,,浙江省,绍兴市,,绍兴站,某个位置
,00:e0:70:2e:00:285,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:286,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:287,,浙江省,绍兴市,,绍兴站,某个位置
,00:e0:70:2e:00:288,,浙江省,绍兴市,,绍兴站,某个位置
,00:e0:70:2e:00:289,,浙江省,嘉兴市,,海宁西站,某个位置
,00:e0:70:2e:00:290,,浙江省,台州市,,温岭站,某个位置
,00:e0:70:2e:00:291,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:292,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:293,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:294,,浙江省,台州市,,温岭站,某个位置
,00:e0:70:2e:00:295,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:296,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:297,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:298,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:299,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:300,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:301,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:302,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:303,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:304,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:305,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:306,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:307,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:308,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:309,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:310,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:311,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:312,,浙江省,台州市,,温岭站,某个位置
,00:e0:70:2e:00:313,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:314,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:315,,浙江省,台州市,,温岭站,某个位置
,00:e0:70:2e:00:316,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:317,,浙江省,绍兴市,,上虞站,某个位置
,00:e0:70:2e:00:318,,浙江省,绍兴市,,上虞站,某个位置
,00:e0:70:2e:00:319,,浙江省,台州市,,温岭站,某个位置
,00:e0:70:2e:00:320,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:321,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:322,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:323,,浙江省,台州市,,温岭站,某个位置
,00:e0:70:2e:00:324,,浙江省,台州市,,温岭站,某个位置
,00:e0:70:2e:00:325,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:326,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:327,,浙江省,台州市,,温岭站,某个位置
,00:e0:70:2e:00:328,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:329,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:330,,浙江省,湖州市,,湖州高铁站,某个位置
,00:e0:70:2e:00:331,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:332,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:333,,浙江省,台州市,,温岭站,某个位置
,00:e0:70:2e:00:334,,浙江省,台州市,,温岭站,某个位置
,00:e0:70:2e:00:335,,浙江省,杭州市,,余杭高铁站,某个位置
,00:e0:70:2e:00:336,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:337,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:338,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:339,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:340,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:341,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:342,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:343,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:344,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:345,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:346,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:347,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:348,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:349,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:350,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:351,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:352,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:353,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:354,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:355,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:356,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:357,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:358,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:359,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:360,,浙江省,台州市,,三门县站,某个位置
,00:e0:70:2e:00:361,,浙江省,台州市,,三门县站,某个位置
,00:e0:70:2e:00:362,,浙江省,宁波市,,奉化站,某个位置
,00:e0:70:2e:00:363,,浙江省,宁波市,,奉化站,某个位置
,00:e0:70:2e:00:364,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:365,,浙江省,绍兴市,,绍兴北,某个位置
,00:e0:70:2e:00:366,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:367,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:368,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:369,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:370,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:371,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:372,,浙江省,宁波市,,宁波高铁站,某个位置
,00:e0:70:2e:00:373,,浙江省,宁波市,,余姚北,某个位置
,00:e0:70:2e:00:374,,浙江省,宁波市,,余姚北,某个位置
,00:e0:70:2e:00:375,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:376,,浙江省,绍兴市,,绍兴东站,某个位置
